loan_amnt,term,int_rate,installment,sub_grade,home_ownership,annual_inc,verification_status,issue_d,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,default_flag,emp_length_years,emp_length_unknown,credit_history_years,loan_to_income
7200.0,36,15.99,253.1,D2,RENT,48000.0,Source Verified,2015-01-01,other,25.95,2005-07-01,5.0,2.0,1545.0,51.5,11.0,f,INDIVIDUAL,0.0,0.0,1,4.0,0,9.5,0.15
7800.0,36,14.65,269.06,C5,RENT,37601.0,Source Verified,2015-06-01,debt_consolidation,20.14,2011-04-01,3.0,0.0,3250.0,92.9,10.0,w,INDIVIDUAL,0.0,0.0,1,7.0,0,4.2,0.207
8000.0,36,17.14,285.78,D4,RENT,39955.0,Source Verified,2015-01-01,medical,34.75,1997-03-01,11.0,0.0,7753.0,44.1,18.0,f,INDIVIDUAL,0.0,0.0,0,6.0,0,17.8,0.2
29100.0,36,18.75,1063.02,D3,MORTGAGE,65000.0,Verified,2012-12-01,credit_card,27.03,2000-03-01,19.0,0.0,23920.0,79.7,37.0,f,INDIVIDUAL,4.0,0.0,0,0.0,0,12.8,0.448
17900.0,60,23.4,508.74,E5,MORTGAGE,56000.0,Verified,2014-02-01,credit_card,28.93,1994-11-01,25.0,0.0,15388.0,39.1,45.0,f,INDIVIDUAL,2.0,0.0,0,10.0,0,19.3,0.32
10525.0,36,16.29,371.54,D2,RENT,72000.0,Source Verified,2014-07-01,debt_consolidation,11.63,2004-04-01,9.0,0.0,1141.0,8.8,13.0,w,INDIVIDUAL,0.0,0.0,0,3.0,0,10.2,0.146
12775.0,36,16.55,452.61,D2,MORTGAGE,73000.0,Not Verified,2015-02-01,other,15.91,1989-01-01,8.0,1.0,7737.0,71.0,33.0,f,INDIVIDUAL,4.0,1.0,0,10.0,0,26.1,0.175
5375.0,36,17.27,192.36,C5,RENT,26102.0,Not Verified,2013-02-01,debt_consolidation,19.86,2005-04-01,8.0,0.0,6936.0,93.7,9.0,f,INDIVIDUAL,0.0,0.0,0,2.0,0,7.8,0.206
15000.0,36,12.69,503.18,C2,MORTGAGE,86000.0,Not Verified,2015-05-01,debt_consolidation,15.98,2005-01-01,16.0,0.0,6756.0,58.7,28.0,w,INDIVIDUAL,5.0,0.0,0,8.0,0,10.3,0.174
16000.0,36,8.9,508.06,A5,MORTGAGE,82000.0,Verified,2013-03-01,debt_consolidation,8.2,1999-02-01,6.0,0.0,6703.0,56.3,17.0,f,INDIVIDUAL,2.0,0.0,0,3.0,0,14.1,0.195
21500.0,60,18.25,548.89,E1,RENT,43000.0,Verified,2015-06-01,debt_consolidation,34.55,1991-04-01,11.0,0.0,15707.0,81.4,43.0,w,INDIVIDUAL,2.0,0.0,1,1.0,0,24.2,0.5
15000.0,36,6.03,456.54,A1,MORTGAGE,101000.0,Not Verified,2014-11-01,debt_consolidation,10.23,1996-11-01,32.0,0.0,16329.0,57.9,55.0,f,INDIVIDUAL,6.0,0.0,0,8.0,0,18.0,0.149
18000.0,36,14.49,619.49,C4,MORTGAGE,55000.0,Not Verified,2014-09-01,debt_consolidation,15.75,2009-09-01,12.0,0.0,6947.0,34.7,18.0,w,INDIVIDUAL,1.0,0.0,0,2.0,0,5.0,0.327
20000.0,36,14.64,689.79,C3,MORTGAGE,45800.0,Verified,2014-03-01,credit_card,21.41,1986-11-01,8.0,0.0,16817.0,78.2,16.0,f,INDIVIDUAL,4.0,0.0,0,6.0,1,27.3,0.437
12500.0,36,11.14,410.07,B2,MORTGAGE,70990.0,Verified,2012-12-01,home_improvement,17.61,1989-01-01,11.0,0.0,15859.0,72.1,21.0,f,INDIVIDUAL,1.0,0.0,0,3.0,0,23.9,0.176
18000.0,60,8.18,366.53,B1,RENT,50497.0,Source Verified,2015-03-01,debt_consolidation,22.1,1993-05-01,27.0,1.0,13976.0,22.9,40.0,w,INDIVIDUAL,0.0,1.0,0,10.0,0,21.8,0.356
13000.0,36,12.99,437.96,C1,RENT,45000.0,Not Verified,2014-08-01,credit_card,9.49,2003-06-01,7.0,1.0,4783.0,41.2,15.0,f,INDIVIDUAL,0.0,1.0,0,10.0,0,11.2,0.289
10000.0,60,15.61,241.12,D1,RENT,66000.0,Source Verified,2014-08-01,debt_consolidation,23.71,1994-09-01,10.0,1.0,3563.0,14.9,41.0,w,INDIVIDUAL,5.0,1.0,0,0.0,0,19.9,0.152
22000.0,60,19.99,582.75,E1,MORTGAGE,50000.0,Source Verified,2014-04-01,debt_consolidation,31.45,1988-02-01,19.0,0.0,14719.0,56.8,34.0,w,INDIVIDUAL,2.0,0.0,1,5.0,0,26.2,0.44
10600.0,36,18.99,388.51,E3,MORTGAGE,82540.0,Verified,2015-11-01,debt_consolidation,31.32,2002-04-01,12.0,1.0,5234.0,40.6,47.0,f,INDIVIDUAL,8.0,1.0,1,10.0,0,13.6,0.128
20000.0,36,14.65,689.89,C5,RENT,121100.0,Source Verified,2015-04-01,debt_consolidation,18.78,2010-05-01,14.0,0.0,19244.0,74.0,24.0,f,INDIVIDUAL,0.0,0.0,0,10.0,0,4.9,0.165
12350.0,36,12.29,411.91,C1,MORTGAGE,64000.0,Verified,2015-04-01,debt_consolidation,15.84,1992-12-01,8.0,0.0,9226.0,32.9,23.0,f,INDIVIDUAL,4.0,0.0,0,10.0,0,22.3,0.193
6000.0,36,14.49,206.5,C4,MORTGAGE,52000.0,Verified,2014-07-01,debt_consolidation,18.44,2000-12-01,10.0,1.0,2318.0,31.3,41.0,f,INDIVIDUAL,6.0,1.0,0,2.0,0,13.6,0.115
2500.0,36,19.05,91.71,D4,MORTGAGE,60000.0,Verified,2013-06-01,other,11.82,1974-06-01,6.0,0.0,139251.0,81.2,27.0,w,INDIVIDUAL,4.0,0.0,0,10.0,0,39.0,0.042
10000.0,36,11.36,329.12,B5,MORTGAGE,88800.0,Not Verified,2010-03-01,home_improvement,4.88,1993-10-01,6.0,0.0,2728.0,37.4,14.0,f,INDIVIDUAL,0.0,0.0,0,10.0,0,16.4,0.113
5000.0,36,11.53,164.96,B5,RENT,42200.0,Source Verified,2015-04-01,debt_consolidation,31.71,2004-12-01,8.0,0.0,10059.0,66.2,17.0,f,INDIVIDUAL,0.0,0.0,1,7.0,0,10.3,0.118
8000.0,36,9.76,257.24,B1,MORTGAGE,41000.0,Source Verified,2012-05-01,other,20.9,2006-12-01,10.0,0.0,11781.0,52.1,19.0,f,INDIVIDUAL,2.0,0.0,0,7.0,0,5.4,0.195
16000.0,60,6.0,316.87,E2,MORTGAGE,60000.0,Not Verified,2014-10-01,debt_consolidation,37.22,2003-06-01,19.0,1.0,27881.0,80.3,67.0,w,INDIVIDUAL,4.0,0.0,0,10.0,0,11.3,0.267
5000.0,36,11.99,166.05,C1,RENT,65600.0,Source Verified,2016-01-01,debt_consolidation,13.14,2003-10-01,8.0,0.0,6384.0,55.5,19.0,w,INDIVIDUAL,0.0,0.0,0,0.0,0,12.3,0.076
10000.0,60,16.59,246.33,D1,RENT,40000.0,Source Verified,2014-04-01,moving,27.33,2001-11-01,5.0,1.0,9700.0,66.4,10.0,w,INDIVIDUAL,1.0,1.0,1,10.0,0,12.4,0.25
33200.0,60,19.99,879.42,E3,OWN,120000.0,Verified,2015-02-01,debt_consolidation,21.57,2003-07-01,12.0,0.0,10565.0,51.3,16.0,f,INDIVIDUAL,0.0,0.0,0,10.0,0,11.6,0.277
35000.0,36,13.68,1190.79,C1,MORTGAGE,99000.0,Verified,2013-08-01,debt_consolidation,23.03,2001-08-01,7.0,0.0,27320.0,71.5,37.0,f,INDIVIDUAL,5.0,0.0,0,10.0,0,12.0,0.354
29700.0,36,14.3,1019.41,C1,OWN,180000.0,Source Verified,2013-10-01,debt_consolidation,9.21,1989-07-01,15.0,0.0,11058.0,45.5,34.0,f,INDIVIDUAL,2.0,0.0,0,8.0,0,24.3,0.165
24000.0,60,16.29,587.34,D2,MORTGAGE,120000.0,Source Verified,2014-10-01,debt_consolidation,16.42,2003-09-01,12.0,1.0,1376.0,9.5,55.0,w,INDIVIDUAL,2.0,1.0,1,8.0,0,11.1,0.2
9350.0,36,12.99,315.0,C1,RENT,41210.0,Not Verified,2014-05-01,debt_consolidation,12.26,1999-08-01,8.0,1.0,6840.0,23.0,43.0,f,INDIVIDUAL,12.0,1.0,0,9.0,0,14.7,0.227
12000.0,36,14.16,411.07,C2,RENT,75000.0,Source Verified,2014-03-01,debt_consolidation,16.69,1997-03-01,7.0,1.0,1993.0,18.5,33.0,f,INDIVIDUAL,0.0,1.0,0,3.0,0,17.0,0.16
10000.0,36,11.55,330.0,B3,MORTGAGE,29000.0,Verified,2013-07-01,credit_card,12.76,1999-10-01,11.0,0.0,13542.0,58.4,22.0,f,INDIVIDUAL,1.0,0.0,0,10.0,0,13.7,0.345
30000.0,60,9.99,637.27,B3,OWN,132500.0,Source Verified,2015-06-01,credit_card,11.22,1995-04-01,13.0,0.0,45433.0,67.0,35.0,w,INDIVIDUAL,5.0,0.0,0,0.0,0,20.2,0.226
14150.0,36,12.39,472.63,C1,OWN,32200.0,Not Verified,2014-11-01,debt_consolidation,16.06,1997-08-01,6.0,0.0,16542.0,69.5,23.0,f,INDIVIDUAL,2.0,0.0,1,10.0,0,17.3,0.439
18000.0,36,12.99,606.41,C1,MORTGAGE,75000.0,Source Verified,2014-07-01,debt_consolidation,23.04,1999-02-01,16.0,0.0,45719.0,71.3,28.0,f,INDIVIDUAL,3.0,0.0,0,10.0,0,15.4,0.24
8400.0,36,14.49,289.1,C4,MORTGAGE,21000.0,Verified,2014-10-01,debt_consolidation,20.0,1997-01-01,7.0,0.0,11385.0,74.9,12.0,f,INDIVIDUAL,0.0,0.0,1,6.0,1,17.7,0.4
16000.0,36,12.12,532.35,B3,RENT,98000.0,Verified,2013-02-01,debt_consolidation,16.13,1996-11-01,10.0,0.0,30165.0,46.7,19.0,f,INDIVIDUAL,0.0,0.0,0,10.0,0,16.3,0.163
3500.0,36,12.99,117.92,C1,RENT,24000.0,Not Verified,2011-04-01,debt_consolidation,6.0,2001-11-01,4.0,0.0,1422.0,43.1,8.0,f,INDIVIDUAL,0.0,0.0,0,3.0,0,9.4,0.146
4500.0,36,14.64,155.21,C3,OWN,26300.0,Source Verified,2014-03-01,debt_consolidation,20.63,1998-09-01,3.0,2.0,4832.0,91.2,6.0,f,INDIVIDUAL,0.0,0.0,1,9.0,0,15.5,0.171
9000.0,36,6.03,273.92,A1,MORTGAGE,35352.0,Not Verified,2011-11-01,home_improvement,9.06,1988-03-01,6.0,0.0,8032.0,25.5,18.0,f,INDIVIDUAL,1.0,0.0,0,10.0,0,23.7,0.255
16000.0,36,14.09,547.55,B5,RENT,51200.0,Not Verified,2013-05-01,credit_card,21.74,2004-07-01,16.0,0.0,13476.0,81.7,22.0,w,INDIVIDUAL,0.0,0.0,0,2.0,0,8.8,0.312
10000.0,36,15.61,349.65,C5,RENT,64000.0,Verified,2014-03-01,debt_consolidation,7.71,1999-10-01,14.0,0.0,12222.0,60.2,15.0,w,INDIVIDUAL,0.0,0.0,1,0.0,0,14.4,0.156
20000.0,60,13.98,465.16,C3,MORTGAGE,65000.0,Source Verified,2014-08-01,debt_consolidation,17.56,1993-09-01,9.0,2.0,13066.0,74.7,20.0,w,INDIVIDUAL,2.0,1.0,0,10.0,0,20.9,0.308
4650.0,36,16.24,164.04,C5,RENT,56000.0,Not Verified,2014-01-01,debt_consolidation,14.49,2001-05-01,12.0,0.0,7976.0,54.3,25.0,w,INDIVIDUAL,0.0,0.0,0,6.0,0,12.7,0.083
9500.0,36,16.99,338.66,D3,RENT,53000.0,Not Verified,2014-09-01,debt_consolidation,25.16,1997-06-01,9.0,0.0,11126.0,72.7,17.0,f,INDIVIDUAL,2.0,0.0,0,10.0,0,17.3,0.179
5825.0,36,18.25,211.32,D3,MORTGAGE,52000.0,Not Verified,2014-02-01,debt_consolidation,15.62,2003-02-01,9.0,1.0,3731.0,67.8,22.0,f,INDIVIDUAL,1.0,0.0,0,9.0,0,11.0,0.112
10000.0,36,15.81,350.64,C4,RENT,73000.0,Verified,2012-05-01,debt_consolidation,21.07,1996-12-01,10.0,0.0,6516.0,85.7,46.0,f,INDIVIDUAL,0.0,0.0,0,4.0,0,15.4,0.137
11000.0,36,15.61,384.62,D1,RENT,46000.0,Not Verified,2014-06-01,debt_consolidation,15.68,2006-09-01,4.0,0.0,10972.0,78.9,9.0,w,INDIVIDUAL,0.0,0.0,1,4.0,0,7.7,0.239
7825.0,36,17.57,281.21,D2,RENT,55000.0,Source Verified,2014-03-01,debt_consolidation,22.82,2006-07-01,12.0,1.0,3029.0,70.0,15.0,w,INDIVIDUAL,0.0,1.0,0,1.0,0,7.7,0.142
10000.0,60,13.33,229.23,C3,MORTGAGE,45760.0,Source Verified,2015-07-01,debt_consolidation,20.27,2011-07-01,16.0,0.0,6045.0,12.7,17.0,w,INDIVIDUAL,1.0,0.0,0,5.0,0,4.0,0.219
2000.0,36,11.39,65.85,B3,MORTGAGE,63295.0,Verified,2016-11-01,home_improvement,11.66,1995-07-01,7.0,0.0,13876.0,74.2,23.0,f,INDIVIDUAL,2.0,0.0,0,0.0,0,21.3,0.032
8500.0,36,10.15,274.88,B2,RENT,37000.0,Not Verified,2014-07-01,credit_card,27.47,2007-07-01,14.0,0.0,6435.0,53.6,18.0,f,INDIVIDUAL,0.0,0.0,1,5.0,0,7.0,0.23
20000.0,60,20.75,538.26,E2,RENT,116000.0,Verified,2016-03-01,debt_consolidation,14.27,1994-06-01,13.0,0.0,20096.0,57.1,19.0,w,INDIVIDUAL,0.0,0.0,0,3.0,0,21.7,0.172
9000.0,36,11.67,297.52,B4,RENT,49000.0,Not Verified,2014-06-01,credit_card,13.1,1995-08-01,14.0,1.0,8815.0,50.0,51.0,f,INDIVIDUAL,0.0,1.0,0,8.0,0,18.8,0.184
30000.0,60,22.06,244.73,F4,RENT,88000.0,Verified,2012-01-01,debt_consolidation,23.88,1994-09-01,17.0,0.0,14523.0,57.9,36.0,f,INDIVIDUAL,2.0,0.0,0,10.0,0,17.3,0.341
5000.0,36,13.49,169.66,C1,RENT,60000.0,Source Verified,2011-11-01,credit_card,17.4,1999-08-01,8.0,0.0,6231.0,94.4,15.0,f,INDIVIDUAL,0.0,0.0,0,10.0,0,12.3,0.083
11075.0,60,18.92,286.81,D4,RENT,26400.0,Source Verified,2014-04-01,debt_consolidation,22.05,2007-08-01,6.0,0.0,10730.0,95.8,8.0,w,INDIVIDUAL,0.0,0.0,1,5.0,0,6.7,0.42
7900.0,36,6.39,241.74,A2,RENT,112000.0,Source Verified,2015-04-01,debt_consolidation,11.56,2000-06-01,11.0,0.0,10149.0,35.0,39.0,w,INDIVIDUAL,4.0,0.0,0,8.0,0,14.8,0.071
20400.0,36,17.86,736.08,D5,MORTGAGE,60000.0,Source Verified,2014-12-01,other,17.96,2004-07-01,6.0,0.0,12974.0,71.7,15.0,f,INDIVIDUAL,0.0,0.0,0,2.0,0,10.4,0.34
35000.0,60,21.0,946.87,E2,MORTGAGE,125000.0,Verified,2013-03-01,debt_consolidation,11.41,1994-12-01,11.0,0.0,5017.0,37.4,43.0,f,INDIVIDUAL,3.0,0.0,0,0.0,0,18.2,0.28
16800.0,36,11.14,551.13,B2,MORTGAGE,120000.0,Not Verified,2013-03-01,debt_consolidation,21.63,1999-08-01,9.0,0.0,98017.0,93.5,29.0,f,INDIVIDUAL,4.0,0.0,1,2.0,0,13.6,0.14
30000.0,36,14.47,1032.2,C2,MORTGAGE,130000.0,Source Verified,2013-12-01,debt_consolidation,12.84,1997-08-01,13.0,0.0,14916.0,71.4,33.0,w,INDIVIDUAL,5.0,0.0,1,10.0,0,16.3,0.231
30800.0,36,21.49,1168.16,D5,RENT,70000.0,Verified,2016-07-01,debt_consolidation,28.87,2003-05-01,11.0,0.0,4980.0,63.0,71.0,w,INDIVIDUAL,0.0,0.0,0,1.0,0,13.2,0.44
20000.0,60,14.65,472.14,C3,MORTGAGE,60000.0,Verified,2011-09-01,debt_consolidation,20.96,2002-10-01,7.0,0.0,11960.0,78.7,21.0,f,INDIVIDUAL,1.0,0.0,0,4.0,0,8.9,0.333
11200.0,36,5.32,337.29,A1,MORTGAGE,40000.0,Source Verified,2015-06-01,credit_card,15.53,1990-04-01,13.0,0.0,3436.0,6.4,35.0,w,INDIVIDUAL,2.0,0.0,1,6.0,1,25.2,0.28
6250.0,36,14.64,215.56,C3,MORTGAGE,52000.0,Not Verified,2014-02-01,debt_consolidation,3.76,2010-06-01,9.0,0.0,5140.0,23.9,10.0,f,INDIVIDUAL,0.0,0.0,0,5.0,0,3.7,0.12
28000.0,60,21.97,772.86,E5,RENT,75000.0,Verified,2012-05-01,debt_consolidation,20.86,1993-10-01,5.0,0.0,7581.0,75.1,34.0,f,INDIVIDUAL,0.0,0.0,0,4.0,0,18.6,0.373
5850.0,36,15.88,205.33,C4,RENT,29577.0,Not Verified,2013-07-01,major_purchase,13.54,2001-01-01,10.0,0.0,12852.0,80.3,10.0,w,INDIVIDUAL,0.0,0.0,0,2.0,0,12.5,0.198
14425.0,60,24.99,423.31,F4,RENT,40227.0,Verified,2015-04-01,debt_consolidation,32.97,1999-03-01,14.0,0.0,27230.0,93.6,20.0,f,INDIVIDUAL,0.0,0.0,0,9.0,0,16.1,0.359
28000.0,36,7.9,876.13,A4,MORTGAGE,215000.0,Source Verified,2014-03-01,credit_card,6.66,2000-03-01,8.0,0.0,28173.0,82.6,20.0,f,INDIVIDUAL,1.0,0.0,0,10.0,0,14.0,0.13
15000.0,36,11.99,498.15,B3,RENT,55000.0,Source Verified,2014-04-01,debt_consolidation,13.38,2006-04-01,14.0,0.0,10676.0,41.1,24.0,w,INDIVIDUAL,0.0,0.0,1,2.0,0,8.0,0.273
18550.0,60,20.49,496.54,E1,RENT,59067.96,Source Verified,2013-04-01,debt_consolidation,19.22,1999-01-01,12.0,0.0,4501.0,38.8,25.0,f,INDIVIDUAL,0.0,0.0,1,3.0,0,14.2,0.314
24000.0,60,11.14,523.5,B2,MORTGAGE,78000.0,Verified,2013-05-01,debt_consolidation,16.55,1997-12-01,21.0,0.0,30876.0,65.6,46.0,f,INDIVIDUAL,1.0,0.0,1,10.0,0,15.4,0.308
4550.0,36,17.57,163.52,D4,MORTGAGE,30540.0,Verified,2014-05-01,home_improvement,12.81,1995-02-01,10.0,0.0,8772.0,56.6,20.0,f,INDIVIDUAL,2.0,0.0,0,6.0,1,19.2,0.149
10000.0,36,8.67,316.47,B1,MORTGAGE,38500.0,Verified,2014-11-01,debt_consolidation,4.83,1992-03-01,4.0,0.0,5619.0,43.2,19.0,f,INDIVIDUAL,2.0,0.0,0,10.0,0,22.7,0.26
9000.0,36,12.99,303.21,C2,MORTGAGE,45760.0,Not Verified,2015-02-01,debt_consolidation,21.67,1991-12-01,6.0,0.0,8076.0,97.3,21.0,f,INDIVIDUAL,5.0,0.0,0,2.0,0,23.2,0.197
1000.0,36,15.27,34.8,C4,RENT,38000.0,Verified,2011-11-01,moving,23.75,1999-10-01,3.0,0.0,16298.0,95.3,9.0,f,INDIVIDUAL,0.0,0.0,0,6.0,0,12.1,0.026
15000.0,36,9.17,478.19,B2,RENT,86000.0,Verified,2015-10-01,debt_consolidation,26.9,1998-12-01,19.0,0.0,21017.0,42.1,60.0,w,INDIVIDUAL,3.0,0.0,1,2.0,0,16.8,0.174
9200.0,36,8.39,289.96,A5,MORTGAGE,116887.0,Verified,2014-10-01,credit_card,12.74,2002-04-01,10.0,1.0,8130.0,56.5,21.0,w,INDIVIDUAL,1.0,1.0,0,6.0,1,12.5,0.079
9000.0,36,8.94,285.95,A5,RENT,37000.0,Not Verified,2009-10-01,debt_consolidation,4.51,1990-10-01,6.0,0.0,8321.0,30.7,19.0,f,INDIVIDUAL,1.0,0.0,0,6.0,0,19.0,0.243
32425.0,60,14.16,757.17,C2,RENT,150000.0,Verified,2014-03-01,debt_consolidation,21.94,1993-08-01,12.0,0.0,8390.0,24.0,36.0,f,INDIVIDUAL,0.0,0.0,0,3.0,0,20.6,0.216
8000.0,36,13.33,270.83,C3,RENT,50000.0,Source Verified,2015-06-01,debt_consolidation,27.1,1998-10-01,6.0,0.0,6313.0,37.6,17.0,f,INDIVIDUAL,0.0,0.0,0,10.0,0,16.7,0.16
3000.0,36,8.9,95.26,A5,MORTGAGE,36000.0,Source Verified,2013-12-01,home_improvement,11.03,2003-10-01,4.0,0.0,4050.0,69.8,15.0,f,INDIVIDUAL,1.0,0.0,0,1.0,0,10.2,0.083
21000.0,60,9.99,446.09,B3,MORTGAGE,72000.0,Not Verified,2015-09-01,debt_consolidation,12.5,1978-03-01,9.0,0.0,1062.0,3.8,27.0,w,INDIVIDUAL,3.0,0.0,0,6.0,1,37.5,0.292
31825.0,60,25.8,949.1,G1,RENT,104000.0,Source Verified,2013-12-01,credit_card,13.04,2000-04-01,19.0,0.0,31825.0,78.2,33.0,w,INDIVIDUAL,4.0,0.0,0,10.0,0,13.7,0.306
4000.0,36,17.27,143.15,C5,RENT,41000.0,Verified,2013-04-01,credit_card,15.34,2004-06-01,9.0,0.0,15155.0,85.6,10.0,f,INDIVIDUAL,0.0,0.0,0,1.0,0,8.8,0.098
10000.0,60,18.25,255.3,E1,MORTGAGE,67890.0,Verified,2015-06-01,debt_consolidation,20.22,1998-01-01,11.0,1.0,9650.0,69.9,37.0,f,INDIVIDUAL,3.0,1.0,0,10.0,0,17.4,0.147
13850.0,60,25.83,413.29,G2,RENT,33000.0,Verified,2015-04-01,debt_consolidation,26.18,2005-05-01,13.0,0.0,8851.0,43.4,50.0,f,INDIVIDUAL,0.0,0.0,0,1.0,0,9.9,0.42
14000.0,36,10.99,458.28,B3,MORTGAGE,156000.0,Not Verified,2014-10-01,house,11.54,2007-01-01,6.0,0.0,12799.0,48.5,12.0,f,INDIVIDUAL,1.0,0.0,0,4.0,0,7.7,0.09
